text,created_at
https://t.co/QvDKY27t6h https://t.co/FenhyvcdBC,3/6/2020 15:03
JOBS JOBS JOBS!!! https://t.co/x0olZd3RLu,3/6/2020 14:21
Thanks Linda but they were really good last night! https://t.co/feLtQTrzO5,3/6/2020 5:21
Thank you! https://t.co/xfB5qwgZzy,3/6/2020 5:15
My great honor! https://t.co/oFZneKJZCf,3/6/2020 3:49
Thank you Audrey! https://t.co/2bhoVVoV6r,3/6/2020 3:33
The WALL is well under construction. So far we’re up to 129 miles and by early next year we will have 500 miles completed! https://t.co/bXxOnoU4WM,3/6/2020 3:27
We have appointed 220 Federal Judges and two Supreme Court Justices. PROMISES MADE PROMISES KEPT! https://t.co/fVw6tJ89Wd,3/6/2020 3:18
Thank you David a lifelong Democrat from Pennsylvania. We will continue MAKING AMERICA GREAT AGAIN and then KEEP AMERICA GREAT!!!!https://t.co/hvVfB5cPrG,3/6/2020 3:15
Thank you Scranton Pennsylvania. It was a great evening! https://t.co/EtzRLoEZHs,3/6/2020 2:05
Tonight’s Fox News Town Hall with @MarthaMacCallum and @BretBaier will rebroadcast at 11:00 P.M. Eastern on @FoxNews. Enjoy!,3/6/2020 1:59
Thank you Nan! https://t.co/PZoxkvMqZq,3/5/2020 20:38
Gallup just gave us the highest rating ever for the way we are handling the CoronaVirus situation. The April 2009-10 Swine Flu where nearly 13000 people died in the U.S. was poorly handled. Ask MSDNC &amp; lightweight Washington failure @RonaldKlain who the President was then?,3/5/2020 20:34
The Department of Education is NOT closing hundreds of schools in rural areas of our Country. This is just more Fake News. We are investing greatly in our schools and always will!,3/5/2020 19:02
Mini Mike you’re easy! https://t.co/rxFiqSB9RQ https://t.co/G2M1QHj0HV,3/5/2020 18:28
With approximately 100000 CoronaVirus cases worldwide and 3280 deaths the United States because of quick action on closing our borders has as of now only 129 cases (40 Americans brought in) and 11 deaths. We are working very hard to keep these numbers as low as possible!,3/5/2020 16:34
“Joe Biden represents the past. President Trump represents the future.” @LisaMarieBoothe @edhenry @FoxNews,3/5/2020 16:22
Elizabeth “Pocahontas” Warren who was going nowhere except into Mini Mike’s head just dropped out of the Democrat Primary...THREE DAYS TOO LATE. She cost Crazy Bernie at least Massachusetts Minnesota and Texas. Probably cost him the nomination! Came in third in Mass.,3/5/2020 16:10
.@GOPLeader Kevin McCarthy informed me that I was 20 for 20 on Tuesday with respect to my Endorsement of candidates. Sadly I didn’t get that information from the Fake News Media. They don’t report those things or the far more than Dems cumulative votes despite no opposition!,3/5/2020 16:02
“I want to commend the President for how he has handled the CoronaVirus situation especially his early decision to shut down access into our Country from China despite strong opposition to that decision.” @SenTomCotton Thank you Tom!,3/5/2020 15:53
Schumer has brought great danger to the steps of the United States Supreme Court!,3/5/2020 15:30
I NEVER said people that are feeling sick should go to work. This is just more Fake News and disinformation put out by the Democrats in particular MSDNC. Comcast covers the CoronaVirus situation horribly only looking to do harm to the incredible &amp; successful effort being made!,3/5/2020 14:30
As per recent Federal Court ruling the Federal Government will be withholding funds from Sanctuary Cities. They should change their status and go non-Sanctuary. Do not protect criminals!,3/5/2020 14:11
https://t.co/hmcOfwHgAK,3/5/2020 4:16
https://t.co/DlGXOvEjVq,3/5/2020 4:03
I will be interviewed by @seanhannity on @FoxNews at 9:10 P.M.,3/5/2020 2:03
Retired Four Star General Jack Keane will receive the PRESIDENTIAL MEDAL OF FREEDOM next week!,3/5/2020 1:23
There can be few things worse in a civilized law abiding nation than a United States Senator openly and for all to see and hear threatening the Supreme Court or its Justices. This is what Chuck Schumer just did. He must pay a severe price for this!,3/5/2020 1:03
Retired Four Star General Jack Keane will recieve the PRESIDENTIAL MEDAL OF FREEDOM next week!,3/5/2020 0:32
This is a direct &amp; dangerous threat to the U.S. Supreme Court by Schumer. If a Republican did this he or she would be arrested or impeached. Serious action MUST be taken NOW! https://t.co/WqQUbyzaJU,3/5/2020 0:21
Thank you keep up the great work! https://t.co/X2ATpyv2vi,3/4/2020 23:49
Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDCgov @HHSGov and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health our Economy and our Nation!,3/4/2020 23:46
Congress has agreed to provide $8 Billion to fight Coronavirus! This means @CDC @HHSGov and @DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health our Economy and our Nation!,3/4/2020 23:45
Will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Enjoy!,3/4/2020 23:43
Pandering Mini Mike Bloomberg along with his wacky friend Tom Steyer have found out the hard way that you can’t buy the election! They both wish they had it to do over again!,3/4/2020 20:06
Today it was my great honor to address the @LatinoCoalition Legislative Summit. With the hard work love &amp; devotion of millions of incredible Hispanic-Americans our Country is thriving our people are prospering and our future has never looked brighter! https://t.co/PJumzqLKGq,3/4/2020 19:30
Mini Mike “Three months ago I entered the race for President to defeat Donald Trump (and I failed miserably!).,3/4/2020 16:06
Mini Mike Bloomberg will now FIRE Tim O’Brien and all of the fools and truly dumb people who got him into this MESS. This has been the worst and most embarrassing experience of his life...and now on to Sleepy Joe!,3/4/2020 15:57
Mini Mike Bloomberg just “quit” the race for President. I could have told him long ago that he didn’t have what it takes and he would have saved himself a billion dollars the real cost. Now he will pour money into Sleepy Joe’s campaign hoping to save face. It won’t work!,3/4/2020 15:40
The Mayor of Los Angeles @ericgarcetti is dealing with us trying to get the Federal Government to fix the terrible problem he and the Dems have caused with the homeless and the horrendous effects it is having on the City which is a mess. I then watch him talk “trash” on me!,3/4/2020 15:32
Wow! If Elizabeth Warren wasn’t in the race Bernie Sanders would have EASILY won Massachusetts Minnesota and Texas not to mention various other states. Our modern day Pocahontas won’t go down in history as a winner but she may very well go down as the all time great SPOILER!,3/4/2020 15:21
The great people of Montana can have no better VOICE than Senator @SteveDaines. He is doing an incredible job! Whoever the Democrat nominee may be please understand that I will be working hard with Steve all the way &amp; last night I was 20 for 20 (per @GOPLeader). WE NEED STEVE!,3/4/2020 14:56
I will be going to the Great State of Tennessee on Friday. The USA stands with the people of Tennessee 100% whatever they need! The tornadoes were of record size &amp; velocity. God bless your loved ones &amp; all of the families affected! Thanks to @GovBillLee &amp; @MarshaBlackburn,3/4/2020 14:20
MAKE AMERICA GREAT AGAIN and then KEEP AMERICA GREAT!!!!,3/4/2020 12:48
This is what happens to someone who loyally gets appointed Attorney General of the United States &amp; then doesn’t have the wisdom or courage to stare down &amp; end the phony Russia Witch Hunt. Recuses himself on FIRST DAY in office and the Mueller Scam begins! https://t.co/2jGnRgOS6h,3/4/2020 12:31
So selfish for Elizabeth Warren to stay in the race. She has Zero chance of even coming close to winning but hurts Bernie badly. So much for their wonderful liberal friendship. Will he ever speak to her again? She cost him Massachusetts (and came in third) he shouldn’t!,3/4/2020 12:12
The Democrat establishment came together and crushed Bernie Sanders AGAIN! Even the fact that Elizabeth Warren stayed in the race was devastating to Bernie and allowed Sleepy Joe to unthinkably win Massachusetts. It was a perfect storm with many good states remaining for Joe!,3/4/2020 11:52
THANK YOU CALIFORNIA! #KAG2020 https://t.co/7BrkAKYWU0,3/4/2020 5:59
THANK YOU UTAH! #KAG2020 https://t.co/LrCvXgmp3X,3/4/2020 5:58
But they really knew who was going to win! https://t.co/WZnOx6ZHmW,3/4/2020 3:39
Elizabeth “Pocahontas” Warren other than Mini Mike was the loser of the night. She didn’t even come close to winning her home state of Massachusetts. Well now she can just sit back with her husband and have a nice cold beer!,3/4/2020 3:35
The biggest loser tonight by far is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain and he got nothing for it but the nickname Mini Mike and the complete destruction of his reputation. Way to go Mike!,3/4/2020 3:23
THANK YOU ARKANSAS! #KAG2020 https://t.co/X3XqvrVZoe,3/4/2020 3:11
THANK YOU MINNESOTA! #KAG2020 https://t.co/gX4qWdbJHF,3/4/2020 3:10
THANK YOU COLORADO! #KAG2020 https://t.co/HUIkHc7hIW,3/4/2020 2:50
THANK YOU COLORADO! #KAG2020 https://t.co/a5xxSebMaj,3/4/2020 2:49
THANK YOU TEXAS! #KAG2020 https://t.co/UujGu4eUNJ,3/4/2020 2:06
THANK YOU MAINE! #KAG2020 https://t.co/gJ50FwOuj3,3/4/2020 1:40
THANK YOU TENNESSEE! #KAG2020 https://t.co/yrDlRAcrRt,3/4/2020 1:30
THANK YOU MASSACHUSETTS! #KAG2020 https://t.co/99dkzK0xfA,3/4/2020 1:28
THANK YOU OKLAHOMA! #KAG2020 https://t.co/V5DNRn6yNB,3/4/2020 1:27
THANK YOU ALABAMA! #KAG2020 https://t.co/IdJ721oOsq,3/4/2020 1:26
THANK YOU NORTH CAROLINA! #KAG2020 https://t.co/RPX0fqWmB1,3/4/2020 0:55
THANK YOU VERMONT! #KAG2020 https://t.co/XgwOjKwYoR,3/4/2020 0:54
Mini Mike don’t lick your dirty fingers. Both unsanitary and dangerous to others and yourself! https://t.co/LsKLZNeZL9,3/4/2020 0:27
The National Institutes of Health is home to some of the greatest doctors scientists and researchers in the world. Thank you for all your doing @NIH keep up the great work! https://t.co/lzgha7jRw1 https://t.co/oLi8HbSzlY,3/3/2020 23:18
I am calling on Congress to send me a Bill that fully and permanently funds the LWCF and restores our National Parks. When I sign it into law it will be HISTORIC for our beautiful public lands. ALL thanks to @SenCoryGardner and @SteveDaines two GREAT Conservative Leaders!,3/3/2020 21:10
I commend the hard work of Senator @SteveDaines and @SenCoryGardner in protecting funding for the Land and Water Conservation Fund for years to come. The citizens of Montana and Colorado thank you both!,3/3/2020 18:30
#PrayForNashville https://t.co/cja0lMG6VC,3/3/2020 17:34
It was my great honor to address the National Association of Counties Legislative Conference where 1200 County Leaders whose incredible devotion talent and drive directly and profoundly improve the lives of millions of Americans each and every day. https://t.co/XqPOjQtakr,3/3/2020 17:30
The Federal Reserve is cutting but must further ease and most importantly come into line with other countries/competitors. We are not playing on a level field. Not fair to USA. It is finally time for the Federal Reserve to LEAD. More easing and cutting!,3/3/2020 15:51
The Federal Reserve is cuting  but must further ease and most importantly come into line with other countries/competitors. We are not playing on a level field. Not fair to USA. It is finally time for the Federal Reserve to LEAD. More easing and cutting!,3/3/2020 15:43
Prayers for all of those affected by the devastating tornadoes in Tennessee. We will continue to monitor the developments. The Federal Government is with you all of the way during this difficult time. https://t.co/eZlA7Ahruj,3/3/2020 14:49
Mini Mike Bloomberg can never recover from his incompetent debate performances. Also as mayor he was very bad under pressure - a choker!,3/3/2020 14:30
New book by @charliekirk11 already number 1 “The MAGA Doctrine”. Really great SUPPORT CHARLIE KIRK. Buy now!,3/3/2020 14:00
Mini Mike Bloomberg can never recover from his incompetent debate performances. Also as mayor he was very bad under pressure - a chocker!,3/3/2020 13:36
Go Admiral Ronny! https://t.co/wrWjB2fxyt,3/3/2020 13:30
Texas &amp; Oklahoma: Mini Mike Bloomberg will kill your drilling fracking and pipelines. Petroleum based “anything” is dead. Energy jobs gone. Don’t vote for Mini Mike!,3/3/2020 13:24
....paying higher rates than many others when we should be paying less. Tough on our exporters and puts the USA at a competitive disadvantage. Must be the other way around. Should ease and cut rate big. Jerome Powell led Federal Reserve has called it wrong from day one. Sad!,3/3/2020 6:34
Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....,3/3/2020 6:34
Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....,3/3/2020 6:27
Thank you @JackBrewerBSI. We’re with you all the way. The American people know what’s going on they totally get it. Watch what happens in November 2020! Thank you for your continued support. Together we are going to KEEP AMERICA GREAT! #BlackVoicesforTrump https://t.co/ftce8XJ3M0,3/3/2020 4:41
WOW! Sleepy Joe doesn’t know where he is or what he’s doing. Honestly I don’t think he even knows what office he's running for! https://t.co/454v9GFpgF,3/3/2020 4:23
The Democrats in the House should propose a very simple one year Payroll Tax cut. Great for the middle class great for the USA!,3/3/2020 4:17
https://t.co/DFl9I722nr,3/3/2020 4:03
This is an incredible time for our nation—we are in the midst of the Great American Comeback! Jobs are booming incomes are soaring poverty is plummeting confidence is surging and we have completely rebuilt the awesome power of the U.S. Military. PROMISES MADE PROMISES KEPT! https://t.co/d5RqU1n3Y0,3/3/2020 1:52
I was thrilled to be back in the Great city of Charlotte North Carolina with thousands of hardworking American Patriots who love our Country cherish our values respect our laws and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y,3/3/2020 1:34
https://t.co/1VZQBfdha2,3/3/2020 1:24
WOW! Thank you just landed see everyone soon! #KAG2020🇺🇸https://t.co/QGdfIsOp4u,3/2/2020 23:06
Departing for the Great State of North Carolina! https://t.co/BjnyTnnHUt,3/2/2020 21:47
They are staging a coup against Bernie!,3/2/2020 21:32
THANK YOU! https://t.co/fdK2I8Fp2J,3/2/2020 19:55
Michelle @FischbachMN7 is running for Congress in Minnesota. Michelle will protect the unborn is Strong on Crime &amp; Borders Cutting Taxes your #2A Loves our Military Vets &amp; will stand w/ our Great Farmers. Michelle has my Complete &amp; Total Endorsement! https://t.co/qwz5F64dQn,3/2/2020 19:55
Congresswoman Kay @GrangerCampaign has worked hard for Texas and been a strong supporter of our #MAGA Agenda. She’s strong on #2A and Securing our Border and is 100% pro-life. Kay has my Complete and Total Endorsement! https://t.co/bJGzIcPnTq,3/2/2020 19:51
Michelle @FischbachMN7 is running for Congress in Minnesota. Nicole is Strong on Crime and Borders Cutting Taxes your #2A Loves our Military Vets and will stand with our Great Farmers. Michelle has my Complete and Total Endorsement! https://t.co/qwz5F64dQn,3/2/2020 19:49
THANK YOU @BillCassidy for all of your support with our #MAGA Agenda. You are doing an outstanding job representing the people of Louisiana &amp; the U.S.A. You have my Complete and Total Endorsement! #KAG2020 https://t.co/zmZZgbnNKc,3/2/2020 19:48
The only people in favor of Mini Mike continuing with his hapless campaign are me and his political consultants who are getting richer and richer by the day!,3/2/2020 17:01
.@FoxNews is working hard pushing the Radical Left Do Nothing Democrats. They want to be unlike their competitors @CNN &amp; MSDNC (Comcast) Fair &amp; Balanced. When will they ever learn. The Radical Left never even gave @FoxNews permission to partake in their low rated debates!,3/2/2020 16:43
....competitive disadvantage. We should be leading not following!,3/2/2020 15:16
As usual Jay Powell and the Federal Reserve are slow to act. Germany and others are pumping money into their economies. Other Central Banks are much more aggressive. The U.S. should have for all of the right reasons the lowest Rate. We don’t putting us at a.....,3/2/2020 15:16
Jack Welch former Chairman and CEO of GE a business legend has died. There was no corporate leader like “neutron” Jack. He was my friend and supporter. We made wonderful deals together. He will never be forgotten. My warmest sympathies to his wonderful wife &amp; family!,3/2/2020 14:19
I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm &amp; vigilant!,3/2/2020 12:55
“Ever since (Mini Mike) Bloomberg’s bad debate performances his support has dropped.” @abcnews  Dropped a lot. Only his highly paid consultants who are laughing all the way to the bank still support him...And by the way he did not poll well as mayor in handling crisis!,3/2/2020 12:42
I am meeting with the major pharmaceutical companies today at the White House about progress on a vaccine and cure. Progress being made!,3/2/2020 12:26
“The Democrat Party is a field of lightweights in complete disarray.” @kayleighmcenany @JudgeJeanine,3/2/2020 2:33
Gallup Poll numbers on the handling of this situation are outstanding the best. Thank you! https://t.co/5Q9JI3Kh9R,3/2/2020 2:31
Watch Mark Levin interview of Charlie Kirk tonight at 11:00 P.M. on @FoxNews. Amazing!!!  And while you’re at it go get Charlie’s new book “The MAGA Doctrine: The Only Ideas That Will Win the Future”...This is a really GREAT book. Support Charlie Kirk!,3/2/2020 2:12
Sleepy Eyes Chuck Todd is not at the top of his game! Thank you. https://t.co/xIiZgMAbIK,3/2/2020 1:10
Sleepy Joe Biden also said that guns killed 150 million Americans last year wants to win Georgia on Super Tuesday (not up) and got his speaking location wrong again! https://t.co/INuGY214xa,3/2/2020 1:07
Thank you! https://t.co/455lHtzRyz,3/2/2020 0:56
Thank you. I love you too! https://t.co/4qwFlUHfn7,3/2/2020 0:54
The Black community brilliantly turned their backs on Mini Mike because they know he is a pandering phony who never did right by them! https://t.co/OERuf0ZKOk,3/2/2020 0:46
Mini Mike Bloomberg didn’t bring NYC back as he said in his fake ad. It was @RudyGiuliani who brought NYC back and who also with his endorsement got Mini Mike elected (with barely a thank you). A boring mayor who the people couldn’t stand!,3/2/2020 0:08
Pete Buttigieg is OUT. All of his SuperTuesday votes will go to Sleepy Joe Biden. Great timing. This is the REAL beginning of the Dems taking Bernie out of play - NO NOMINATION AGAIN!,3/1/2020 23:43
People are disgusted and embarrassed by the Fake News Media as headed by the @nytimes @washingtonpost @comcast &amp; MSDNC @ABC @CBSNews and more. They no longer believe what they see and read and for good reason. Fake News is indeed THE ENEMY OF THE PEOPLE!,3/1/2020 21:13
“Who better than @RepRatcliffe who got to the bottom of the FISAGATE &amp; RUSSIAGATE HOAX. It makes a lot of sense to put John Ratcliffe in there (DNI).The Senate should quickly approve him. @DevinNunes @MariaBartiromo  John will do a great job for the American people!,3/1/2020 21:00
A Poll in today’s New York Post says that 77% of “U.S. adults have confidence in their government’s ability to handle the Coronavirus (Number One) compared to other health threats.” 64% for Zika 58% for Ebola. Others way down on list. Our professionals are doing a great job!,3/1/2020 20:17
The food is GREAT at Sammy’s Mexican Grill in Phoenix Arizona. Congratulations to Betty &amp; Jorge Rivas on doing such a wonderful job. I will try hard to stop by the next time I am in Phoenix. Support Sammy’s! @foxandfriends,3/1/2020 15:11
